INFO  | 2019-11-24 15:32:58 | [main] tests.ToppingsTest (ToppingsTest.java:40) - ********* Started TC001_testAllToppingsGetCall  **********
INFO  | 2019-11-24 15:32:58 | [main] tests.ToppingsTest (ToppingsTest.java:57) - ********* Started TC002_testDeleteToppingCall  **********
INFO  | 2019-11-24 15:32:59 | [main] tests.OrdersTest (OrdersTest.java:40) - ********* Started TC001_testAllOrders  **********
INFO  | 2019-11-24 15:32:59 | [main] tests.OrdersTest (OrdersTest.java:87) - ********* Started TC003_testPostOrdersCall  **********
INFO  | 2019-11-24 15:33:00 | [main] tests.OrdersTest (OrdersTest.java:59) - ********* Started TC002_testSingleOrder  **********
INFO  | 2019-11-24 15:33:16 | [main] tests.PizzasTest (PizzasTest.java:40) - ********* Started TC001_testAllToppingsGetCall  **********
INFO  | 2019-11-24 15:33:17 | [main] tests.PizzasTest (PizzasTest.java:57) - ********* Started TC002_testDeleteToppingCall  **********
INFO  | 2019-11-24 15:33:17 | [main] tests.ToppingsTest (ToppingsTest.java:40) - ********* Started TC001_testAllToppingsGetCall  **********
INFO  | 2019-11-24 15:33:18 | [main] tests.ToppingsTest (ToppingsTest.java:57) - ********* Started TC002_testDeleteToppingCall  **********
INFO  | 2019-11-24 15:33:18 | [main] tests.OrdersTest (OrdersTest.java:40) - ********* Started TC001_testAllOrders  **********
INFO  | 2019-11-24 15:33:19 | [main] tests.OrdersTest (OrdersTest.java:87) - ********* Started TC003_testPostOrdersCall  **********
INFO  | 2019-11-24 15:33:19 | [main] tests.OrdersTest (OrdersTest.java:59) - ********* Started TC002_testSingleOrder  **********
INFO  | 2019-11-24 15:40:41 | [main] tests.PizzasTest (PizzasTest.java:40) - ********* Started TC001_testAllToppingsGetCall  **********
INFO  | 2019-11-24 15:41:06 | [main] tests.PizzasTest (PizzasTest.java:40) - ********* Started TC001_testAllToppingsGetCall  **********
INFO  | 2019-11-24 15:46:15 | [main] tests.PizzasTest (PizzasTest.java:38) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:46:16 | [main] tests.ToppingsTest (ToppingsTest.java:35) - ********* Started TestCase_testAllToppingsGetCall  **********
INFO  | 2019-11-24 15:46:17 | [main] tests.ToppingsTest (ToppingsTest.java:52) - ********* Started TestCase_testDeleteToppingCall  **********
INFO  | 2019-11-24 15:46:17 | [main] tests.OrdersTest (OrdersTest.java:43) - ********* Started TestCase_testAllOrders  **********
